iter	Logloss
0	0.683495267
1	0.6730931389
2	0.6620281341
3	0.6513521606
4	0.6417092417
5	0.6323471001
6	0.6243581378
7	0.6150090923
8	0.60830322
9	0.6015239078
10	0.5945270472
11	0.5873460707
12	0.5816114143
13	0.5745559079
14	0.5688649457
15	0.5640038346
16	0.5591297751
17	0.5534606716
18	0.5492806601
19	0.5440014491
20	0.5394838637
21	0.5348526642
22	0.5311980034
23	0.5278731197
24	0.5236939292
25	0.5202675392
26	0.5168908496
27	0.5138288815
28	0.5104923015
29	0.5075744649
30	0.5051587812
31	0.502533952
32	0.5005747928
33	0.4982203351
34	0.4965852335
35	0.4944670354
36	0.4922096288
37	0.489962258
38	0.4879757645
39	0.4859574072
40	0.4840503768
41	0.482715118
42	0.4810884524
43	0.4797904865
44	0.4777862925
45	0.4760335977
46	0.4748624234
47	0.4734623064
48	0.4720922133
49	0.4701723485
50	0.4690920045
51	0.4680029666
52	0.4668359245
53	0.4654997214
54	0.4641075831
55	0.4629842814
56	0.4614017594
57	0.4604370589
58	0.4597321132
59	0.4586126798
60	0.4578899563
61	0.4568124729
62	0.4557528105
63	0.4548161099
64	0.4538830645
65	0.4528457249
66	0.4520986748
67	0.4511737442
68	0.4503394241
69	0.4496102995
70	0.4488362142
71	0.4481396742
72	0.4471963625
73	0.4466821278
74	0.4461553287
75	0.4455110469
76	0.4446655773
77	0.4439545094
78	0.4433699311
79	0.4429833272
80	0.4422234215
81	0.4414151367
82	0.4408297265
83	0.4403597149
84	0.4398499615
85	0.4393909753
86	0.4390360975
87	0.4384965905
88	0.4378833701
89	0.4374593058
90	0.4369467116
91	0.4365935927
92	0.4364062545
93	0.4359669025
94	0.4354146741
95	0.4350997658
96	0.4347361081
97	0.4343338387
98	0.4338312757
99	0.4333880352
100	0.4328911832
101	0.4325585192
102	0.4321181384
103	0.431788229
104	0.431492585
105	0.4311721076
106	0.4307574784
107	0.4304031533
108	0.4299801633
109	0.4296860223
110	0.4292638909
111	0.4290155632
112	0.4287960569
113	0.4284112137
114	0.4279304325
115	0.4278579314
116	0.4275253309
117	0.4273960067
118	0.4270980214
119	0.4267465052
120	0.4263750468
121	0.4261439759
122	0.425812193
123	0.425623672
124	0.4253837798
125	0.4251375905
126	0.424806648
127	0.4245667614
128	0.4243826512
129	0.4241818759
130	0.423897874
131	0.4237638485
132	0.4235277013
133	0.4231786015
134	0.4229620851
135	0.4228160706
136	0.4226119833
137	0.4224274708
138	0.4221530048
139	0.4220221017
140	0.4219256061
141	0.4216353139
142	0.4214578063
143	0.4211276124
144	0.4209373127
145	0.4207258103
146	0.4205364336
147	0.4203974257
148	0.4202885039
149	0.4202054901
150	0.4200474307
151	0.4198959004
152	0.4196965009
153	0.4195729991
154	0.4194081331
155	0.4191986283
156	0.4189474811
157	0.4188030955
158	0.4186637794
159	0.4184890678
160	0.4183923704
161	0.4181448947
162	0.4180092411
163	0.4178416856
164	0.4176282325
165	0.4174694191
166	0.4172773802
167	0.4170640326
168	0.4169523354
169	0.4167409835
170	0.4166305309
171	0.4164986468
172	0.4163253021
173	0.4161486864
174	0.4161399099
175	0.416011978
176	0.4158754704
177	0.4157300755
178	0.4157001486
179	0.415675151
180	0.4155621512
181	0.415343155
182	0.4152495894
183	0.4151612411
184	0.4150899752
185	0.4148913375
186	0.4147475649
187	0.4146408658
188	0.4145362343
189	0.4144709472
190	0.4142744829
191	0.414224495
192	0.4140971313
193	0.4140360278
194	0.414022191
195	0.4139386041
196	0.4138601858
197	0.4137388154
198	0.4135937745
199	0.4135069084
200	0.4133618873
201	0.4132662186
202	0.4131700389
203	0.412945488
204	0.4128589281
205	0.4126767237
206	0.4125189548
207	0.4123592658
208	0.4122558476
209	0.4121650317
210	0.41207293
211	0.4119366756
212	0.4118289195
213	0.4117308721
214	0.411716979
215	0.4116199653
216	0.4114919208
217	0.411491721
218	0.4112990291
219	0.411187894
220	0.4110595326
221	0.4109491324
222	0.4108165987
223	0.4107472863
224	0.4107472807
225	0.4106432904
226	0.4105491721
227	0.4104991027
228	0.4103293542
229	0.4101762478
230	0.4101124299
231	0.4099869166
232	0.4098891374
233	0.4097580715
234	0.409724845
235	0.4096782927
236	0.4095939144
237	0.4095014214
238	0.4094303858
239	0.4093329531
240	0.4092962052
241	0.4092495408
242	0.4091365859
243	0.409032997
244	0.4089564016
245	0.4088953534
246	0.4087486449
247	0.4086879033
248	0.4085873966
249	0.4084769853
250	0.4084590374
251	0.4084063604
252	0.4082561258
253	0.408142453
254	0.4080289597
255	0.4079675266
256	0.4079292806
257	0.407866001
258	0.4077356439
259	0.4076590811
260	0.4076590758
261	0.4075920262
262	0.407564118
263	0.4074985067
264	0.4074323392
265	0.4073852904
266	0.4073243244
267	0.4072297017
268	0.4071673428
269	0.4071367293
270	0.4071040708
271	0.4070879151
272	0.4069514499
273	0.4068380038
274	0.4067168987
275	0.406714371
276	0.4066109161
277	0.4065728924
278	0.4065192677
279	0.4065079378
280	0.4063759074
281	0.4062631765
282	0.4062073314
283	0.406150814
284	0.406078992
285	0.4058926078
286	0.4058362978
287	0.40582185
288	0.4057399569
289	0.4056616686
290	0.4055483069
291	0.4053599918
292	0.405317594
293	0.4052354175
294	0.4051680469
295	0.4050368046
296	0.4049454782
297	0.4048032259
298	0.4047960473
299	0.4046735638
300	0.4045969715
301	0.4045355501
302	0.4044529878
303	0.4043934116
304	0.4043372214
305	0.4042271882
306	0.4041456284
307	0.4041437546
308	0.4041121504
309	0.4040362338
310	0.4039118352
311	0.4038597994
312	0.4038226834
313	0.4037506201
314	0.4037457383
315	0.4036421713
316	0.4036052389
317	0.4035504157
318	0.4034767646
319	0.4033582853
320	0.4032603255
321	0.403241515
322	0.403216087
323	0.4031159478
324	0.4030861159
325	0.4030418875
326	0.4029506775
327	0.402774969
328	0.4027598338
329	0.4027278912
