iter	Logloss
0	0.6861791713
1	0.674892746
2	0.6604910786
3	0.65117692
4	0.6398078573
5	0.6290470135
6	0.6191902275
7	0.6102405882
8	0.6032938967
9	0.595055121
10	0.587470807
11	0.5797965447
12	0.5715850736
13	0.5657026742
14	0.560438998
15	0.5558301489
16	0.5521452608
17	0.546631024
18	0.5420009307
19	0.5364466651
20	0.5316789898
21	0.5273769484
22	0.5238726745
23	0.5205598646
24	0.517317837
25	0.514065783
26	0.511156247
27	0.5085665381
28	0.5050483444
29	0.5033448046
30	0.5012699139
31	0.4983403398
32	0.4965032869
33	0.4938159504
34	0.4907973497
35	0.4884507142
36	0.48584999
37	0.483624302
38	0.4819990734
39	0.4800530353
40	0.4780991889
41	0.4758177386
42	0.4742926218
43	0.4726150824
44	0.4712358825
45	0.4695464252
46	0.4679117826
47	0.4666160221
48	0.465097196
49	0.4637656234
50	0.4622779952
51	0.4611564853
52	0.4599871841
53	0.45891825
54	0.4576401402
55	0.456863513
56	0.4555321599
57	0.4544047041
58	0.4535623286
59	0.4525704535
60	0.4516856496
61	0.4507507918
62	0.4499607243
63	0.4488224828
64	0.4479183662
65	0.4467449709
66	0.4456129715
67	0.4448807006
68	0.4443578869
69	0.443383909
70	0.4425539616
71	0.4418428196
72	0.4411724163
73	0.4407416526
74	0.4403971596
75	0.4395842413
76	0.4387913328
77	0.438121736
78	0.4374511569
79	0.4367232585
80	0.436307695
81	0.4357380436
82	0.4352285446
83	0.4348269184
84	0.4342040085
85	0.4334193024
86	0.4329034765
87	0.4322905198
88	0.4315802116
89	0.4309351013
90	0.4304855596
91	0.4297277068
92	0.4294546125
93	0.4287318467
94	0.4282829645
95	0.4276733413
96	0.4271725988
97	0.4267173178
98	0.4263950728
99	0.4259830917
100	0.4255569341
101	0.4251683027
102	0.4247001381
103	0.4243624886
104	0.4239270475
105	0.4234106141
106	0.4230246415
107	0.4228542118
108	0.4223061194
109	0.4218103048
110	0.4214862061
111	0.4211038626
112	0.4207710164
113	0.4203456139
114	0.4200965573
115	0.419757614
116	0.4193503792
117	0.4189816678
118	0.4186275397
119	0.4183563977
120	0.4180585442
121	0.4176899341
122	0.4174757207
123	0.4171589732
124	0.4169136774
125	0.4165260803
126	0.4163517946
127	0.416131922
128	0.4156234985
129	0.4155050496
130	0.4151717173
131	0.4145658504
132	0.414345423
133	0.4141354713
134	0.4138920102
135	0.4136894895
136	0.4134240253
137	0.413113393
138	0.4128994669
139	0.4127189183
140	0.4125223915
141	0.412357815
142	0.4122942887
143	0.412029781
144	0.4119176095
145	0.4114817832
146	0.411193154
147	0.4108776521
148	0.4105911619
149	0.4103985764
150	0.4101488638
151	0.4100123461
152	0.4099500661
153	0.409664665
154	0.4094567685
155	0.4093829049
156	0.4091852671
157	0.4089706355
158	0.4087277995
159	0.4085786611
160	0.4083803534
161	0.4082296313
162	0.4080628454
163	0.4077880259
164	0.4075972041
165	0.4074793507
166	0.4073333823
167	0.4070958595
168	0.4069594837
169	0.4067760941
170	0.4065195024
171	0.4062973749
172	0.4061339595
173	0.4059381839
174	0.4059041626
175	0.4055498484
176	0.4053893088
177	0.4052458476
178	0.4049424608
179	0.4048303849
180	0.4046732938
181	0.4044833595
182	0.404305833
183	0.404152185
184	0.4039655042
185	0.403731896
186	0.4035803813
187	0.4034582713
188	0.4031767817
189	0.4031518187
190	0.403043982
191	0.4028495315
192	0.4026635163
193	0.4024768632
194	0.4024295852
195	0.402171401
196	0.4020322357
197	0.4019241182
198	0.4018635373
199	0.4016478725
200	0.4013279093
201	0.401168889
202	0.4010012128
203	0.4008499094
204	0.4007196521
205	0.4007044265
206	0.4005599028
207	0.400338251
208	0.4003147191
209	0.4000390452
210	0.3999694664
211	0.3998236627
212	0.3997431009
213	0.3995939231
214	0.399544432
215	0.3994255783
216	0.3993013034
217	0.3991054819
218	0.398847143
219	0.3987493493
220	0.3986506653
221	0.3984926192
222	0.3984020105
223	0.3982501984
224	0.3982100829
225	0.3980461867
226	0.3979330274
227	0.3977703202
228	0.3975381861
229	0.3973298775
230	0.3970335076
231	0.3969060022
232	0.3967168241
233	0.3965996472
234	0.3965162024
235	0.3963529793
236	0.3961459305
237	0.3960253147
238	0.3959211959
239	0.3957449141
240	0.3956127601
241	0.3954854355
242	0.3953362954
243	0.395126243
244	0.3949419002
245	0.3948498261
246	0.3947288111
247	0.3944653338
248	0.3942943922
249	0.3942137954
250	0.3940304959
251	0.3939267167
252	0.3938701924
253	0.393776451
254	0.3937095902
255	0.3936322875
256	0.3933658661
257	0.3932679303
258	0.393075488
259	0.3929359561
260	0.3927729406
261	0.3925653588
262	0.3925465541
263	0.392388593
264	0.3923251326
265	0.3922940191
266	0.3922040213
267	0.3919534411
