iter	Logloss
0	0.6785445389
1	0.6662316746
2	0.6557233143
3	0.6435031696
4	0.634325028
5	0.6239864168
6	0.6146109758
7	0.6048807447
8	0.5961920911
9	0.5878421218
10	0.580602411
11	0.5736070377
12	0.5664835181
13	0.5602715204
14	0.5551298859
15	0.5504286708
16	0.5465658555
17	0.5417527029
18	0.537970959
19	0.5339147446
20	0.5297005128
21	0.5255413378
22	0.5242845451
23	0.5207805698
24	0.5167868653
25	0.5132982583
26	0.5101560062
27	0.5068495526
28	0.503773134
29	0.5012309957
30	0.4984520576
31	0.4960411314
32	0.4942702762
33	0.4921511921
34	0.4894083418
35	0.487164608
36	0.4848830515
37	0.4826364736
38	0.4808264225
39	0.4795802506
40	0.4776847414
41	0.4759963327
42	0.4740507959
43	0.4728145491
44	0.4706165327
45	0.4689779738
46	0.4675688389
47	0.4659910161
48	0.4647918465
49	0.4636484018
50	0.4623594544
51	0.4608690311
52	0.4591679184
53	0.4579641408
54	0.4570545923
55	0.4560786144
56	0.4546778667
57	0.4539950158
58	0.4528048275
59	0.4516274541
60	0.450573662
61	0.4504622182
62	0.4498089604
63	0.4488037969
64	0.4478320018
65	0.4470361549
66	0.4465666329
67	0.4457192178
68	0.4448503062
69	0.4441156137
70	0.4434138487
71	0.4426248834
72	0.4418503637
73	0.4411485032
74	0.4408647538
75	0.4400523661
76	0.4393333693
77	0.4386109597
78	0.4378821432
79	0.437304
80	0.4366282606
81	0.4359681121
82	0.435655763
83	0.4352759527
84	0.4346610755
85	0.4344862646
86	0.433839101
87	0.4334039913
88	0.4329373353
89	0.4323623425
90	0.432033152
91	0.4316664992
92	0.4311556251
93	0.4308093016
94	0.4305806861
95	0.4302488167
96	0.4299236459
97	0.4296143417
98	0.4292618975
99	0.4291476187
100	0.4285896155
101	0.4281498086
102	0.427914363
103	0.4272150134
104	0.4269793134
105	0.4267032578
106	0.426277363
107	0.4258747801
108	0.4256157273
109	0.4252695585
110	0.4249848313
111	0.4246508846
112	0.4244466402
113	0.4241736661
114	0.423763847
115	0.4234945829
116	0.42320514
117	0.4227597772
118	0.4224647328
119	0.4221911475
120	0.4220182171
121	0.4219935549
122	0.4217146313
123	0.421486248
124	0.4213001395
125	0.4211303876
126	0.42077381
127	0.4205924128
128	0.4204329776
129	0.4200499683
130	0.4198325732
131	0.4197052973
132	0.4195306057
133	0.4193589189
134	0.4190879345
135	0.4189604088
136	0.4186981649
137	0.4185033243
138	0.4183110348
139	0.4180337203
140	0.4177986758
141	0.4177866215
142	0.4175999643
143	0.4174916282
144	0.4173350385
145	0.4171120226
146	0.4169327579
147	0.4168477693
148	0.4167583343
149	0.4167316491
150	0.4165406601
151	0.416338988
152	0.4160668871
153	0.4159402346
154	0.4158312193
155	0.4156908472
156	0.4155819141
157	0.4153914148
158	0.4152760937
159	0.4149312528
160	0.4148301114
161	0.4146060774
162	0.4145187464
163	0.414397588
164	0.4143561102
165	0.4141775792
166	0.4140263418
167	0.4138816774
168	0.4137665584
169	0.4137204357
170	0.413626989
171	0.4135023066
172	0.4133578265
173	0.4131815328
174	0.4130689338
175	0.4129114528
176	0.4127975714
177	0.4127288655
178	0.4125544825
179	0.4124636264
180	0.4123258044
181	0.4122060455
182	0.4119159782
183	0.4116577078
184	0.41147315
185	0.4112804273
186	0.4110516853
187	0.4110121651
188	0.4109209821
189	0.4108336403
190	0.4107300329
191	0.4105310688
192	0.4104120638
193	0.410313168
194	0.4101445453
195	0.4100399808
196	0.4098813636
197	0.409757579
198	0.409658796
199	0.4095366126
200	0.4094368432
201	0.4092740462
202	0.409208742
203	0.4090560891
204	0.4090353174
205	0.4089935943
206	0.4088924854
207	0.408871447
208	0.4087550621
209	0.408696656
210	0.4085994699
211	0.4085638341
212	0.4084738301
213	0.4083690575
214	0.4082671808
215	0.4081682187
216	0.4080030588
217	0.407923866
218	0.40778979
219	0.4076570634
220	0.4075551458
221	0.4074522133
222	0.4073114737
223	0.4072125768
224	0.4070390854
225	0.4069267597
226	0.4068210246
227	0.4067458683
228	0.40672216
229	0.4065627302
230	0.4064329469
231	0.4063701608
232	0.4062779479
233	0.4062668752
234	0.4061893795
235	0.4061747391
236	0.4061171119
237	0.4059985571
238	0.4058820913
239	0.4057288309
240	0.4056821564
241	0.4056236925
242	0.4054753322
243	0.4054157517
244	0.4053621695
245	0.4053106281
246	0.4052028675
247	0.4051195243
248	0.4049674316
249	0.4049085761
250	0.4047183335
251	0.4045866325
252	0.4045730613
253	0.4044751328
254	0.4044218102
255	0.4042455706
256	0.404182798
257	0.4040832477
258	0.4040069094
259	0.4038559362
260	0.4038105142
261	0.403805844
262	0.4037392951
263	0.4036548374
264	0.4035872466
265	0.4034613238
266	0.4033780277
267	0.4033514727
268	0.4032795169
269	0.4031651798
270	0.4030846201
271	0.4029551083
272	0.4028241328
273	0.4026864724
274	0.402548467
275	0.4024952774
276	0.4024054622
277	0.402318319
278	0.4022483065
279	0.402184561
280	0.402136959
281	0.4020678737
282	0.4019519864
283	0.4018760265
284	0.4017268967
285	0.4017001838
286	0.4016824162
287	0.4015528237
288	0.4014937964
289	0.4014769963
290	0.401346467
291	0.4013131762
292	0.4011307171
293	0.4010903938
294	0.4010132657
295	0.4009887614
296	0.4008823364
297	0.400775875
298	0.4007362676
299	0.4007191161
300	0.4005919463
301	0.4005207993
302	0.4004201098
303	0.4003128912
304	0.4001754827
305	0.4001140555
306	0.4000641041
307	0.3999718169
308	0.3998956943
309	0.3998231663
310	0.3997204099
311	0.3996688315
312	0.3995636965
313	0.3995341316
314	0.3994679276
315	0.3994309922
316	0.3993497346
317	0.399247735
318	0.3992327828
319	0.3991229141
320	0.3990655753
321	0.3990655748
322	0.3989696039
323	0.3988843013
324	0.3988365904
325	0.3987870107
326	0.3987078888
327	0.3986188204
328	0.3985367813
329	0.3984721636
330	0.3983633401
331	0.398247431
332	0.3982014129
333	0.3980593807
334	0.3979661065
335	0.3978768443
336	0.3977368013
337	0.3976835689
338	0.397595985
339	0.3975394639
340	0.3974733941
341	0.3974103787
342	0.3973223129
343	0.3972257786
344	0.3972152566
345	0.397186046
346	0.397129701
347	0.3970271609
348	0.396961817
349	0.3969243995
350	0.3968659648
351	0.3968332163
352	0.3967685847
353	0.3967271436
354	0.3965626247
355	0.3964655114
356	0.3963869138
357	0.396252449
358	0.3962009131
359	0.3961223955
360	0.3960618138
361	0.3959302856
362	0.3958478683
363	0.3957501902
364	0.3957102794
365	0.3956416421
366	0.3955773456
367	0.3954589748
368	0.3954041848
369	0.3952978192
370	0.3952324751
371	0.3951374628
372	0.3950506895
373	0.3950161617
374	0.3949244429
375	0.3948368824
376	0.3947599441
377	0.3946806437
378	0.3945862066
379	0.3945497618
380	0.3945024312
381	0.3944590452
382	0.3944142911
383	0.3943591313
384	0.3942524372
385	0.3941155469
386	0.3940957213
387	0.3940340531
388	0.3939959697
389	0.3939454956
390	0.3938793537
391	0.3938233247
392	0.393766802
393	0.3937078873
394	0.3936346873
395	0.3935622554
396	0.3934636044
397	0.393405859
398	0.3933083563
399	0.3932734027
400	0.3932270495
401	0.3931449241
402	0.39308949
403	0.3930033298
404	0.3929102483
405	0.3927470006
406	0.3926926916
407	0.3926089407
408	0.39247736
409	0.3924250106
410	0.3923623643
411	0.39227623
412	0.3921094876
413	0.3920567381
414	0.3919441297
415	0.3919263503
416	0.3918007632
417	0.3917368656
418	0.391668828
419	0.391599326
420	0.3915367902
421	0.391441989
422	0.3913690728
423	0.3913261081
424	0.3912240137
425	0.3911461631
426	0.3910195421
427	0.3909559649
428	0.3908968531
429	0.390860406
430	0.3908593164
431	0.39079638
432	0.3907716302
433	0.3907217932
434	0.3906622449
435	0.3905901192
436	0.390485153
437	0.3904017252
438	0.3903500797
439	0.3902407134
440	0.3902405725
441	0.3901290797
442	0.3901050137
443	0.3900069651
444	0.389912563
445	0.3898270574
446	0.3897941832
447	0.3897364894
448	0.3896326332
449	0.3895645117
450	0.3895125009
451	0.38937323
452	0.3893031495
453	0.3892279763
454	0.3891386288
455	0.3890254395
456	0.3889355009
457	0.3888485429
