iter	Logloss
0	0.6792958004
1	0.6667705321
2	0.6536649642
3	0.6420065514
4	0.6309305299
5	0.6206129036
6	0.6117477154
7	0.6038179371
8	0.5949267436
9	0.5867950713
10	0.5794375908
11	0.5729361517
12	0.5668443393
13	0.5608644368
14	0.5555700262
15	0.5498696447
16	0.5443874384
17	0.5402531472
18	0.5366295545
19	0.5318862021
20	0.5276939565
21	0.5239543889
22	0.5201969674
23	0.5163001167
24	0.5138941303
25	0.5111760644
26	0.5081545683
27	0.5054176119
28	0.503279058
29	0.5003532553
30	0.4975264124
31	0.4945728359
32	0.4921565239
33	0.4897460937
34	0.4874926957
35	0.4864403748
36	0.4845655105
37	0.4824765669
38	0.4803528774
39	0.4786618709
40	0.4763688124
41	0.4747150188
42	0.47334123
43	0.4716956888
44	0.4698917427
45	0.4681396917
46	0.4672213605
47	0.4659013775
48	0.4647814793
49	0.4635730411
50	0.4619659024
51	0.4606520439
52	0.4596509522
53	0.4589245307
54	0.4581608106
55	0.456807757
56	0.4555693058
57	0.4551160002
58	0.4543579542
59	0.4535013519
60	0.4530230925
61	0.4518726199
62	0.4507879214
63	0.4497169905
64	0.4488253818
65	0.447912009
66	0.4470778801
67	0.4463860215
68	0.4455383389
69	0.4448729737
70	0.4442107564
71	0.4436446086
72	0.4428012903
73	0.4422312045
74	0.4415150335
75	0.4408421877
76	0.4403895482
77	0.4398483462
78	0.439568392
79	0.4389806381
80	0.4384373476
81	0.4378950774
82	0.4376396705
83	0.4371282681
84	0.4369728642
85	0.4365723656
86	0.4363150476
87	0.4360107967
88	0.435875305
89	0.4356465943
90	0.4351802973
91	0.4348989901
92	0.4343802633
93	0.4338994527
94	0.4335216369
95	0.4330724967
96	0.4329357357
97	0.432509588
98	0.4321446053
99	0.4319250294
100	0.4316425379
101	0.4313347223
102	0.4309329877
103	0.4306976851
104	0.4301424884
105	0.4299006812
106	0.4295624614
107	0.4293925616
108	0.4290886975
109	0.4286388864
110	0.428370245
111	0.4281079667
112	0.4279318312
113	0.4275880876
114	0.4273189988
115	0.4270518267
116	0.4267074279
117	0.4263730688
118	0.4260777259
119	0.4258093577
120	0.4255250127
121	0.4253880441
122	0.4251261244
123	0.4248181363
124	0.4244567694
125	0.4242156022
126	0.4239712178
127	0.4237434513
128	0.4235439019
129	0.4233427293
130	0.4229520502
131	0.4227606334
132	0.4226884418
133	0.4223419534
134	0.4222684951
135	0.4220467427
136	0.4218732996
137	0.421827193
138	0.4216542
139	0.4214688358
140	0.4213282441
141	0.4212010112
142	0.4209756003
143	0.4209166204
144	0.4206524108
145	0.4205293013
146	0.4204703691
147	0.4202984024
148	0.4201358715
149	0.4199974958
150	0.4197623835
151	0.4195081436
152	0.4193218556
153	0.41928608
154	0.4192204722
155	0.4189957817
156	0.4187930224
157	0.418647584
158	0.4185752347
159	0.4184786575
160	0.4183385239
161	0.4181824088
162	0.4179864588
163	0.4178337036
164	0.4176671145
165	0.4175805819
166	0.4174313875
167	0.4172754862
168	0.4170750728
169	0.4169352404
170	0.4167516841
171	0.4166507876
172	0.4164677671
173	0.4160982255
174	0.4159392723
175	0.4158443678
176	0.4156693519
177	0.4155251739
178	0.4154802939
179	0.4154315106
180	0.4153433708
181	0.4152556415
182	0.415170609
183	0.4150895613
184	0.4150064621
185	0.414889007
186	0.4147652646
187	0.4146951181
188	0.4146638172
189	0.4145562119
190	0.4144086205
191	0.4142544048
192	0.4140898505
193	0.4140558213
194	0.4139438786
195	0.4137868694
196	0.4137151687
197	0.4135762759
198	0.4134554609
199	0.4133365533
200	0.4132747797
201	0.4131035575
202	0.4129974632
203	0.4128367665
204	0.4127603491
205	0.4127043691
206	0.4127032004
207	0.4126715196
208	0.412559185
209	0.4123695205
210	0.4122714844
211	0.412198102
212	0.4120887917
213	0.4120014449
214	0.4119277746
215	0.4119013478
216	0.4118378911
217	0.4117805158
218	0.4116844674
219	0.4116090897
220	0.4115197867
221	0.411436796
222	0.4113515738
223	0.4113123765
224	0.4112650972
225	0.4112315574
226	0.4111171778
227	0.4109992889
228	0.4109012159
229	0.4108231936
230	0.4107331793
231	0.4106393033
232	0.4105058295
233	0.4104657849
234	0.4103904863
235	0.4103356827
236	0.4102118033
237	0.4101742104
238	0.4100766608
239	0.4100475346
240	0.4100390231
241	0.4099450814
242	0.4099161299
243	0.4098632089
244	0.4098000991
245	0.4097928075
246	0.4097071327
247	0.4096181848
248	0.4095233388
249	0.4094611535
250	0.4094115203
251	0.4093368054
252	0.4092724119
253	0.4091488701
254	0.4090073667
255	0.4089518849
256	0.4089073919
257	0.408872802
258	0.4087846606
259	0.4086492995
260	0.4085461471
261	0.4084087113
262	0.4082938208
263	0.40820052
264	0.4081961206
265	0.4081265075
266	0.4080348007
267	0.4078347373
268	0.4077896509
269	0.4077067504
270	0.4076232828
271	0.4076135399
272	0.4075842309
273	0.4075025893
274	0.4075023397
275	0.4073389632
276	0.4071898944
277	0.4071479773
278	0.407074387
279	0.4070743703
280	0.4070139793
281	0.407013956
